Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_&_Beverages,Inflight_Entertainment,Ground_Service,Wifi_&_Connectivity,Value_For_Money,Recommended
boeing 747400,Couple Leisure,Business Class,Las Vegas to London Heathrow ,February 2020,5.0,5.0,5.0,2.0,5.0,1.0,5,1
a321neo,Solo Leisure,Economy Class,London-Heathrow to Warsaw,March 2020,5.0,5.0,3.0,3.0,4.0,1.0,3,1
boeing 747,Solo Leisure,Business Class,Nashville to London via Chicago,March 2020,3.0,5.0,4.0,3.0,3.0,1.0,1,0
boeing 747400,Business,Business Class,Chicago to London Heathrow,March 2020,1.0,1.0,1.0,1.0,1.0,1.0,1,0
boeing 747400,Business,Business Class,London to New York JFK,February 2020,1.0,1.0,1.0,1.0,1.0,1.0,1,0
boeing 787,Solo Leisure,Economy Class,London to Beijing,January 2020,3.0,5.0,4.0,5.0,4.0,1.0,4,1
a380,Family Leisure,Economy Class,Hong Kong to London,January 2020,5.0,5.0,5.0,3.0,5.0,1.0,5,1
boeing 777200,Couple Leisure,Economy Class,Mumbai to London,March 2020,4.0,5.0,5.0,4.0,5.0,1.0,5,1
boeing 777200,Couple Leisure,Economy Class,London to Delhi,February 2020,4.0,5.0,5.0,4.0,2.0,1.0,4,1
a319,Business,Business Class,Paris to London,February 2020,1.0,4.0,3.0,3.0,1.0,1.0,1,0
boeing 747400,Solo Leisure,Premium Economy,Vancouver to London,February 2020,4.0,5.0,5.0,5.0,4.0,1.0,5,1
boeing 787,Business,Business Class,London to Seattle,February 2020,3.0,4.0,3.0,3.0,3.0,1.0,1,0
boeing 777,Solo Leisure,First Class,London Heathrow to Nairobi,February 2020,3.0,5.0,1.0,3.0,2.0,1.0,3,0
boeing 787,Solo Leisure,Economy Class,Rio de Janeiro to London ,February 2020,1.0,3.0,1.0,1.0,1.0,1.0,2,0
boeing 747400,Couple Leisure,Business Class,Las Vegas to Paris via London,February 2020,1.0,4.0,3.0,1.0,4.0,1.0,1,0
a321,Solo Leisure,Business Class,London Heathrow to Sofia,October 2019,4.0,4.0,4.0,3.0,5.0,2.0,4,1
a321neo,Business,Business Class,Madrid to London ,January 2020,2.0,3.0,2.0,1.0,3.0,1.0,2,0
a320,Family Leisure,Economy Class,Prague to London,January 2020,5.0,5.0,3.0,3.0,3.0,3.0,5,1
